Pair,denselayer15.conv2,denselayer16.conv1,denselayer16.conv2
Tibia-Femur,0.9992676973342896,0.9996244311332703,0.9980205297470093
Tibia-Background,0.9550963044166565,0.9557421803474426,0.9368942379951477
Femur-Background,0.9571051597595215,0.9559392929077148,0.937417209148407
